midi_file,song_name,instrument_class
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Harmonica
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Organ
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Other
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\all_src.mid,Track00001,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S00.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S01.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S02.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S03.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S04.mid,MIDI,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S05.mid,MIDI,Organ
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S07.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S08.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S09.mid,MIDI,Harmonica
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00001\MIDI\S10.mid,MIDI,Harmonica
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Brass
